country_iso3,country_name,date,country_no2_index,n_cities_total,n_cities_with_value,average_data_coverage
PHL,Philippines,2022-06-29,1.671691350389356e-5,21,21,0.09925925925925926
PHL,Philippines,2022-06-30,1.660044962283481e-5,21,21,0.2325925925925926
PHL,Philippines,2022-07-01,1.651103197235816e-5,21,21,0.27174603174603174
PHL,Philippines,2022-07-02,1.6388439663000525e-5,21,21,0.0728042328042328
PHL,Philippines,2022-07-03,1.634050733693511e-5,21,21,0.19682539682539685
PHL,Philippines,2022-07-04,1.626794479693104e-5,21,21,0.08084656084656085
PHL,Philippines,2022-07-05,1.6206797665992442e-5,21,21,0.14708994708994708
PHL,Philippines,2022-07-06,1.5905175274289637e-5,21,21,0.30793650793650795
PHL,Philippines,2022-07-07,1.5905800349613248e-5,21,21,0.23534391534391533
PHL,Philippines,2022-07-08,1.561263817667982e-5,21,21,0.08338624338624338
PHL,Philippines,2022-07-09,1.565640390670573e-5,21,21,0.21333333333333332
PHL,Philippines,2022-07-10,1.55899707834777e-5,21,21,0.19788359788359788
PHL,Philippines,2022-07-11,1.5474093353850943e-5,21,21,0.25206349206349205
PHL,Philippines,2022-07-12,1.5619481713906886e-5,21,21,0.14666666666666667
PHL,Philippines,2022-07-13,1.565888937126149e-5,21,21,0.2780952380952381
PHL,Philippines,2022-07-14,1.5381844043608742e-5,21,21,0.46455026455026455
PHL,Philippines,2022-07-15,1.553201031689608e-5,21,21,0.29354497354497355
PHL,Philippines,2022-07-16,1.5800933395979605e-5,21,21,0.2055026455026455
PHL,Philippines,2022-07-17,1.5980235996215316e-5,21,21,0.2850793650793651
PHL,Philippines,2022-07-18,1.6206758793818377e-5,21,21,0.1034920634920635
PHL,Philippines,2022-07-19,1.615192114475484e-5,21,21,0.4228571428571429
PHL,Philippines,2022-07-20,1.588678735762912e-5,21,21,0.13164021164021164
PHL,Philippines,2022-07-21,1.571569963383073e-5,21,21,0.1346031746031746
PHL,Philippines,2022-07-22,1.5687562347651627e-5,21,21,0.41396825396825393
PHL,Philippines,2022-07-23,1.556183381732259e-5,21,21,0.428994708994709
PHL,Philippines,2022-07-24,1.5035946485108593e-5,21,21,0.3674074074074074
PHL,Philippines,2022-07-25,1.4805272877332175e-5,21,21,0.15767195767195769
PHL,Philippines,2022-07-26,1.4692488572001738e-5,21,21,0.29058201058201055
PHL,Philippines,2022-07-27,1.4764388099021082e-5,21,21,0.38052910052910055
PHL,Philippines,2022-07-28,1.4838946298954397e-5,21,21,0.27915343915343915
PHL,Philippines,2022-07-29,1.4812672359696742e-5,21,21,0.08148148148148149
PHL,Philippines,2022-07-30,1.4876050630922357e-5,21,21,0.05904761904761905
PHL,Philippines,2022-07-31,1.4890677726714966e-5,21,21,0.035343915343915344
PHL,Philippines,2022-08-01,1.4842536611843952e-5,21,21,0.23978835978835977
PHL,Philippines,2022-08-02,1.4655497498045572e-5,21,21,0.355978835978836
PHL,Philippines,2022-08-03,1.4678288005745633e-5,21,21,0.37735449735449733
PHL,Philippines,2022-08-04,1.4780553786505493e-5,21,21,0.13608465608465609
PHL,Philippines,2022-08-05,1.500992001522111e-5,21,21,0.05037037037037037
PHL,Philippines,2022-08-06,1.5113785957468703e-5,21,21,0.1453968253968254
PHL,Philippines,2022-08-07,1.552120150447293e-5,21,21,0.0783068783068783
PHL,Philippines,2022-08-08,1.5613521477969487e-5,21,21,0.18137566137566138
PHL,Philippines,2022-08-09,1.5348588813843097e-5,21,21,0.15174603174603174
PHL,Philippines,2022-08-10,1.5441391149923764e-5,21,21,0.14941798941798942
PHL,Philippines,2022-08-11,1.552303133927486e-5,21,21,0.35619047619047617
PHL,Philippines,2022-08-12,1.551826553903658e-5,21,21,0.5242328042328043
PHL,Philippines,2022-08-13,1.5778651809900135e-5,21,21,0.19174603174603175
PHL,Philippines,2022-08-14,1.5595321247415587e-5,21,21,0.04698412698412699
PHL,Philippines,2022-08-15,1.5366551029917606e-5,21,21,0.12507936507936507
PHL,Philippines,2022-08-16,1.539099678190095e-5,21,21,0.39026455026455026
PHL,Philippines,2022-08-17,1.5339379167149562e-5,21,21,0.21629629629629632
PHL,Philippines,2022-08-18,1.555818943559404e-5,21,21,0.1250793650793651
PHL,Philippines,2022-08-19,1.5733160680087752e-5,21,21,0.21481481481481482
PHL,Philippines,2022-08-20,1.5793000306980708e-5,21,21,0.3401058201058201
PHL,Philippines,2022-08-21,1.6154334203157852e-5,21,21,0.15703703703703706
PHL,Philippines,2022-08-22,1.632907708542624e-5,21,21,0.018624338624338623
PHL,Philippines,2022-08-23,1.6492591614389535e-5,21,21,0.11936507936507937
PHL,Philippines,2022-08-24,1.6568623829677434e-5,21,21,0.15957671957671957
PHL,Philippines,2022-08-25,1.6318874366698347e-5,21,21,0.38645502645502644
PHL,Philippines,2022-08-26,1.626704762720792e-5,21,21,0.29968253968253966
PHL,Philippines,2022-08-27,1.5956124762579402e-5,21,21,0.3151322751322751
PHL,Philippines,2022-08-28,1.5629877744958384e-5,21,21,0.5521693121693122
PHL,Philippines,2022-08-29,1.568274058807212e-5,21,21,0.4057142857142857
PHL,Philippines,2022-08-30,1.557653908050877e-5,21,21,0.3216931216931217
PHL,Philippines,2022-08-31,1.576729158574221e-5,21,21,0.2615873015873016
PHL,Philippines,2022-09-01,1.561617869318111e-5,21,21,0.3547089947089947
PHL,Philippines,2022-09-02,1.546619344351079e-5,21,21,0.25693121693121695
PHL,Philippines,2022-09-03,1.5249152424965273e-5,21,21,0.2016931216931217
PHL,Philippines,2022-09-04,1.4879979181706295e-5,21,21,0.224973544973545
PHL,Philippines,2022-09-05,1.4896112009511003e-5,21,21,0.03280423280423281
PHL,Philippines,2022-09-06,1.4725975089689033e-5,21,21,0.0962962962962963
PHL,Philippines,2022-09-07,1.451046588227586e-5,21,21,0.5382010582010582
PHL,Philippines,2022-09-08,1.4532656870697757e-5,21,21,0.504973544973545
PHL,Philippines,2022-09-09,1.4784134178883165e-5,21,21,0.1947089947089947
PHL,Philippines,2022-09-10,1.464539701826156e-5,21,21,0.3801058201058201
